created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,685,221.0,Jmilio54,15,43,,"[{'text': 'WeCanDoThis', 'indices': [44, 56]}, {'text': 'COVID19', 'indices': [121, 129]}]","[{'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [3, 15]}]",
Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,-0.1625,0.2375,en,52,28.0,LilyWad75051099,474,361,,"[{'text': 'Cuban', 'indices': [69, 75]}, {'text': 'COVID19', 'indices': [76, 84]}, {'text': 'vaccines', 'indices': [85, 94]}]","[{'screen_name': 'MediccGail', 'name': 'GailReedMEDICC', 'id': 785263274992529408, 'id_str': '785263274992529408', 'indices': [3, 14]}]",
Fri Jun 18 17:56:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.37272727272727274,0.46742424242424246,en,0,,SammyEyong,14,80,,[],[],
Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.37272727272727274,0.46742424242424246,en,4,2.0,trekkerteach12,7778,5990,,"[{'text': 'Covid19', 'indices': [120, 128]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]",
Fri Jun 18 17:57:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.1958333333333333,0.2875,en,22,6.0,emet_news_press,9765,7035,,[],"[{'screen_name': 'YakiLopez', 'name': 'Yaki Lopez 🇮🇱', 'id': 21575905, 'id_str': '21575905', 'indices': [3, 13]}]",Global
Fri Jun 18 17:57:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,-0.09166666666666666,0.41666666666666663,en,0,,edjimimi,371,605,,[],[],"Austin, TX"
Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.625,1.0,en,5,3.0,SheriD17536431,470,1240,,"[{'text': 'Covid19', 'indices': [120, 128]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]",Nashville
Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",0.13333333333333333,0.45555555555555555,en,67,77.0,DuncanSteele8,48,74,,[],"[{'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [3, 15]}]",
Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity",0.625,0.4,en,55,32.0,ChrisRamsden4,678,570,,[],"[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}]",Kent
Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd",0.2333333333333333,0.5533333333333333,en,6,3.0,stevenlwalker,5769,1848,,"[{'text': 'COVID19', 'indices': [56, 64]}]","[{'screen_name': 'falcicchio', 'name': 'John J. Falcicchio', 'id': 44704488, 'id_str': '44704488', 'indices': [3, 14]}]",Bending stuff towards justice
Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",0.13333333333333333,0.45555555555555555,en,203,95.0,yuccaldo,1309,2618,,[],"[{'screen_name': 'globalhlthtwit', 'name': 'Anthony Costello', 'id': 83440337, 'id_str': '83440337', 'indices': [3, 18]}]","#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:57:30 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",0.4000000000000001,0.7166666666666667,en,5,2.0,LeahMochula,84,592,,[],"[{'screen_name': 'VaxHuntersCan', 'name': 'Vaccine Hunters Canada', 'id': 1373531468744552448, 'id_str': '1373531468744552448', 'indices': [3, 17]}]",
Fri Jun 18 17:57:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@robinmonotti2 @RiseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 https://t.co/oocr6CtzQZ,-0.1625,0.2375,en,3,3.0,siborg76,558,1684,,[],"[{'screen_name': 'GebauerKen', 'name': 'KMG6990', 'id': 1285443742107746305, 'id_str': '1285443742107746305', 'indices': [3, 14]}, {'screen_name': 'robinmonotti2', 'name': 'Robin Monotti 🌸', 'id': 20106357, 'id_str': '20106357', 'indices': [16, 30]}, {'screen_name': 'RiseOfTheProles', 'name': 'Rise up Canadians!', 'id': 809764232111783936, 'id_str': '809764232111783936', 'indices': [31, 47]}]","England, United Kingdom"
Fri Jun 18 17:57:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",0.1958333333333333,0.2875,en,203,96.0,DrRobinFawcett,85,110,,[],"[{'screen_name': 'globalhlthtwit', 'name': 'Anthony Costello', 'id': 83440337, 'id_str': '83440337', 'indices': [3, 18]}]",London
Fri Jun 18 17:57:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli",0.16666666666666666,0.18888888888888888,en,29,5.0,signpostpoetry,850,1827,,[],"[{'screen_name': 'JillianHortonMD', 'name': 'Jillian', 'id': 1167843938599952384, 'id_str': '1167843938599952384', 'indices': [3, 19]}]",Treaty One
Fri Jun 18 17:57:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.37272727272727274,0.46742424242424246,en,0,,sharon_inouye,6100,1556,,"[{'text': 'COVID19', 'indices': [45, 53]}]",[],United States
Fri Jun 18 17:57:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,-0.23645833333333335,0.3375,en,54,29.0,laureiropedro1,45,258,,"[{'text': 'Cuban', 'indices': [69, 75]}, {'text': 'COVID19', 'indices': [76, 84]}, {'text': 'vaccines', 'indices': [85, 94]}]","[{'screen_name': 'MediccGail', 'name': 'GailReedMEDICC', 'id': 785263274992529408, 'id_str': '785263274992529408', 'indices': [3, 14]}]",
Fri Jun 18 17:57:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",0.1,0.3,en,68,78.0,yuccaldo,1309,2618,,[],"[{'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [3, 15]}]","#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:57:48 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.125,0.325,en,548,614.0,Sportsmk,755,646,,[],"[{'screen_name': 'TelGlobalHealth', 'name': 'Telegraph Global Health Security', 'id': 1149218984346230784, 'id_str': '1149218984346230784', 'indices': [3, 19]}, {'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [102, 110]}]",texas
Fri Jun 18 17:57:48 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.20727272727272728,0.5709090909090909,en,6,4.0,RGC_BPPA,2689,5003,,"[{'text': 'Covid19', 'indices': [120, 128]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]","Lafayette, Louisiana"
Fri Jun 18 17:57:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",-0.23645833333333335,0.3375,en,855,485.0,saanchi_saxena,153,350,,"[{'text': 'COVID19', 'indices': [101, 109]}]","[{'screen_name': 'Winnie_Byanyima', 'name': 'Winnie Byanyima', 'id': 355696940, 'id_str': '355696940', 'indices': [3, 19]}]",
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

""That's the reason why ERNs were developed...""

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn",0.5083333333333333,0.7833333333333333,en,6,4.0,NatxRP,70,305,,"[{'text': 'ERNReCONNET', 'indices': [18, 30]}, {'text': 'SLE', 'indices': [40, 44]}, {'text': 'COVID19', 'indices': [49, 57]}, {'text': 'vaccines', 'indices': [58, 67]}, {'text': 'patientsinvolvement', 'indices': [118, 138]}]","[{'screen_name': 'ern_reconnet', 'name': 'ERN ReCONNET 🇪🇺', 'id': 883260824546148352, 'id_str': '883260824546148352', 'indices': [3, 16]}]","Barcelona, Espanya"
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22",0.13333333333333333,0.6333333333333333,en,62,48.0,yuccaldo,1309,2619,,"[{'text': 'COVID19', 'indices': [120, 128]}]","[{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [3, 11]}]","#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:58:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 #StrongerTogether",0.0,0.06388888888888888,en,102,50.0,CaleEuropaEdic,2228,2720,,"[{'text': 'COVID19', 'indices': [105, 113]}]","[{'screen_name': 'EU_Commission', 'name': 'European Commission 🇪🇺', 'id': 157981564, 'id_str': '157981564', 'indices': [3, 17]}, {'screen_name': 'EurobarometerEU', 'name': 'Eurobarometer', 'id': 304876789, 'id_str': '304876789', 'indices': [25, 41]}]",
Fri Jun 18 17:58:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",0.25,0.2,en,855,486.0,chloekam09,478,441,,"[{'text': 'COVID19', 'indices': [101, 109]}]","[{'screen_name': 'Winnie_Byanyima', 'name': 'Winnie Byanyima', 'id': 355696940, 'id_str': '355696940', 'indices': [3, 19]}]",
Fri Jun 18 17:58:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.21212121212121207,0.40151515151515155,en,0,,runciecwc,6467,2529,,"[{'text': 'COVID19', 'indices': [88, 96]}]",[],Nigeria
Fri Jun 18 17:58:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",-0.3,0.4,en,687,222.0,Renee98929893,12,152,,"[{'text': 'WeCanDoThis', 'indices': [44, 56]}, {'text': 'COVID19', 'indices': [121, 129]}]","[{'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [3, 15]}]",
Fri Jun 18 17:58:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B",0.09375,0.28125,en,0,1.0,corrigan_david,2898,5001,,"[{'text': 'Covid19', 'indices': [65, 73]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]","Los Angeles, CA"
Fri Jun 18 17:58:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,3.700743415417188e-17,0.6333333333333334,en,3,5.0,guyinthecorner1,249,375,,[],"[{'screen_name': 'wkrafchik', 'name': 'warren krafchik', 'id': 207415700, 'id_str': '207415700', 'indices': [3, 13]}]",South Africa
Fri Jun 18 17:58:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB",-0.125,0.725,en,3,5.0,SandyBiback,910,575,,[],"[{'screen_name': 'VaxHuntersCan', 'name': 'Vaccine Hunters Canada', 'id': 1373531468744552448, 'id_str': '1373531468744552448', 'indices': [3, 17]}]",Canada
Fri Jun 18 17:58:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)",0.025757575757575757,0.3151515151515151,en,7,6.0,FortuneThembo,214,855,,[],"[{'screen_name': 'geoffreyyork', 'name': 'Geoffrey York', 'id': 42953038, 'id_str': '42953038', 'indices': [3, 16]}]","Johannesburg, South Africa"
Fri Jun 18 17:58:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",At least one take away seems to me to be that universities may still find themselves facing litigation even if they don't mandate #covid19 #vaccines.,0.625,0.4,en,10,2.0,JonathanKuo11,19,103,,[],"[{'screen_name': 'doritmi', 'name': '(((Dorit Reiss)))', 'id': 54886540, 'id_str': '54886540', 'indices': [3, 11]}]",
Fri Jun 18 17:59:01 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,0.0,0.0,en,0,,TamesideCouncil,29688,1104,,[],[],"Ashton-under-Lyne, England"
Fri Jun 18 17:59:10 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,0.0,0.5,en,0,,realjacobsumner,974,1329,,"[{'text': 'WeCanDoThis', 'indices': [91, 103]}, {'text': 'Arizona', 'indices': [104, 112]}]",[],"Glendale, AZ"
Fri Jun 18 17:59:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",-0.041666666666666664,0.08333333333333333,en,107,63.0,HIPhealthy,9396,7492,,"[{'text': 'COVID19', 'indices': [26, 34]}]","[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [3, 10]}]","Miami, Florida"
Fri Jun 18 17:59:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.5,0.5,en,64,27.0,Morteza22047559,784,601,,[],"[{'screen_name': 'Rimmel_Mohydin', 'name': 'Rimmel Mohydin', 'id': 1127502992, 'id_str': '1127502992', 'indices': [3, 18]}]",Canada
Fri Jun 18 17:59:22 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",0.13333333333333333,0.45555555555555555,en,536,349.0,williapa81,295,1450,,[],"[{'screen_name': 'RealJoelSmalley', 'name': 'Joel Smalley 🌸', 'id': 1086212368575680512, 'id_str': '1086212368575680512', 'indices': [3, 19]}]",
